2006-12-09,Ind,75,Cle,107
2006-12-09,Den,90,Dal,105
2006-12-09,NOO,80,GSW,101
2006-12-09,LAC,89,Mem,82
2006-12-09,Bos,92,NJN,90
2006-12-09,Mil,107,NYK,115
2006-12-09,Phi,84,Orl,86
2006-12-09,Hou,114,Was,109
2006-12-10,Pho,114,CHR,84
2006-12-10,SAS,99,LAL,106
2006-12-10,Atl,92,Sac,117
2006-12-10,GSW,115,Sea,117
2006-12-10,Por,93,Tor,83
2006-12-11,Ind,91,Chi,106
2006-12-11,SAS,103,LAC,81
2006-12-11,Tor,77,Mia,99
2006-12-11,Mem,92,NJN,105
2006-12-11,Cle,89,NOO,95
2006-12-11,Bos,97,NYK,90
2006-12-11,Pho,103,Orl,89
2006-12-11,Por,81,Phi,79
2006-12-11,Dal,79,Uta,101
2006-12-12,Den,100,Atl,87
2006-12-12,Sac,113,GSW,126
2006-12-12,LAL,102,Hou,94
2006-12-12,Sea,93,Mil,94
2006-12-13,Sea,84,Chi,99
2006-12-13,CHR,101,Cle,104
2006-12-13,LAL,101,Dal,110
2006-12-13,Det,90,Ind,101
2006-12-13,Uta,105,LAC,86
2006-12-13,Por,85,Mem,79
2006-12-13,Pho,99,Mia,89
2006-12-13,Mil,95,NJN,108
2006-12-13,Atl,82,NYK,94
2006-12-13,Tor,91,Orl,84
2006-12-13,Bos,101,Phi,81
2006-12-13,Min,82,SAS,95
2006-12-13,Den,91,Was,120
2006-12-14,Orl,89,CHR,99
2006-12-14,Hou,107,GSW,109
2006-12-14,SAS,103,NOO,77
2006-12-15,Den,114,Bos,119
2006-12-15,Mil,111,Chi,117
2006-12-15,Sea,84,Cle,106
2006-12-15,Phi,79,Dal,93
2006-12-15,NYK,96,Ind,112
2006-12-15,Hou,101,LAL,112
2006-12-15,Atl,97,Mem,88
2006-12-15,GSW,101,Pho,105
2006-12-15,LAC,99,Por,109
2006-12-15,NJN,78,Tor,90
2006-12-15,Sac,98,Uta,97
2006-12-15,Mia,95,Was,106
2006-12-16,Chi,106,Atl,104
2006-12-16,Bos,106,CHR,100
2006-12-16,Mem,90,Mia,98
2006-12-16,Min,104,Mil,108
2006-12-16,Det,90,NJN,82
2006-12-16,Dal,90,NOO,79
2006-12-16,Den,123,NYK,100
2006-12-16,Cle,74,Orl,81
2006-12-16,Pho,105,Sac,98
2006-12-16,Phi,98,SAS,103
2006-12-17,Sea,93,Det,97
2006-12-17,Uta,104,Ind,94
2006-12-17,Hou,108,LAC,103
2006-12-17,Was,147,LAL,141
2006-12-17,GSW,115,Tor,120
2006-12-18,Was,108,Den,117
2006-12-18,Sea,126,Mem,134
2006-12-18,NOO,99,Mia,101
2006-12-18,GSW,97,NJN,105
2006-12-18,Uta,96,NYK,97
2006-12-18,Dal,109,Sac,91
2006-12-19,LAL,89,Chi,94
2006-12-19,Tor,98,Pho,115
2006-12-20,Uta,112,Atl,106
2006-12-20,GSW,96,Bos,95
2006-12-20,Tor,98,LAC,96
2006-12-20,Mia,95,Mil,121
2006-12-20,LAL,111,Min,94
2006-12-20,Cle,111,NJN,113
2006-12-20,CHR,109,NYK,111
2006-12-20,NOO,83,Orl,86
2006-12-20,Ind,101,Phi,93
2006-12-20,Hou,87,Por,89
2006-12-20,Mem,98,SAS,105
2006-12-20,Dal,103,Sea,95
2006-12-21,Det,87,Cle,71
2006-12-21,Was,126,Sac,119
2006-12-22,Ind,100,Atl,90
2006-12-22,Phi,98,Bos,83
2006-12-22,Uta,89,CHR,101
2006-12-22,LAC,83,Dal,115
2006-12-22,Sac,101,Den,96
2006-12-22,Mil,113,Min,107
2006-12-22,LAL,99,NJN,95
2006-12-22,Mem,97,NOO,100
2006-12-22,Chi,92,NYK,103
2006-12-22,GSW,117,Orl,108
2006-12-22,Was,144,Pho,139
2006-12-22,Tor,101,Por,100
2006-12-22,Hou,97,SAS,78
2006-12-23,CHR,76,Chi,115
2006-12-23,Orl,83,Cle,86
2006-12-23,Atl,81,Det,108
2006-12-23,LAC,98,Hou,93
2006-12-23,Min,78,Ind,71
2006-12-23,Uta,100,Mem,97
2006-12-23,GSW,92,Mia,105
2006-12-23,NJN,104,Mil,115
2006-12-23,SAS,112,NOO,77
2006-12-23,NYK,77,Phi,98
2006-12-23,Tor,97,Sea,110
2006-12-25,LAL,85,Mia,101
2006-12-26,CHR,84,Dal,97
2006-12-26,Bos,105,Den,116
2006-12-26,NJN,91,Det,92
2006-12-26,Phi,97,GSW,116
2006-12-26,Hou,76,Ind,81
2006-12-26,Chi,98,Min,100
2006-12-26,Por,87,Pho,110
2006-12-26,Mil,114,SAS,107
2006-12-26,NOO,94,Sea,102
2006-12-26,LAC,92,Uta,102
2006-12-26,Mem,101,Was,116
2006-12-27,Cle,89,Atl,76
2006-12-27,Mia,103,Chi,109
2006-12-27,Was,114,CHR,107
2006-12-27,Bos,77,LAC,100
